Order Date,Product,Category,Sales,Quantity,Region,Customer ID,Profit
2021-12-04,SSD,Storage,457.72,2,East,CUST0146,100.17
2023-04-02,Graphics Card,Technology,4292.09,9,South,CUST0267,1291.88
2023-08-15,Router,Office,2982.58,10,North,CUST0119,1257.35
2021-06-10,Tablet,Technology,463.96,11,South,CUST0503,95.19
2023-03-12,RAM,Components,4032.42,3,South,CUST0264,1153.41
2022-02-02,Mouse,Accessories,2248.37,17,South,CUST0276,785.08
2023-03-27,Tablet,Technology,3837.25,11,Central,CUST0715,787.17
2022-02-05,Printer,Office,112.47,17,South,CUST0059,22.07
2022-10-02,Speaker,Accessories,192.26,19,South,CUST0347,37.8
2023-11-23,USB Cable,Accessories,895.38,4,East,CUST0989,371.22
2022-11-19,Motherboard,Technology,1094.04,2,East,CUST0665,397.55
2022-04-05,Monitor,Technology,3831.58,14,East,CUST0186,961.38
2023-08-13,Webcam,Accessories,3548.14,15,North,CUST0115,1492.95
2022-04-15,USB Cable,Accessories,3099.64,3,Central,CUST0787,1351.64
2023-11-12,Router,Office,4430.05,13,North,CUST0893,1193.82
2023-01-20,Phone,Technology,1273.39,13,Central,CUST0898,386.01
2021-02-07,Webcam,Accessories,4526.8,18,Central,CUST0362,1165.31
2021-08-18,Mouse,Accessories,4551.88,7,West,CUST0999,993.52
2022-07-17,RAM,Components,2199.59,16,West,CUST0236,844.65
2022-03-14,Motherboard,Technology,517.21,16,West,CUST0442,178.29
2021-01-27,Graphics Card,Technology,3646.47,6,Central,CUST0578,948.33
2021-08-14,Mouse,Accessories,1717.8,6,Central,CUST0263,265.08
2023-03-09,USB Cable,Accessories,3984.9,4,North,CUST0051,1510.68
2021-10-11,Hard Drive,Storage,860.27,3,Central,CUST0351,252.24
2023-05-29,Router,Office,2720.6,1,South,CUST0417,467.74
2023-08-18,Speaker,Accessories,2564.96,3,South,CUST0843,480.55
2022-03-29,USB Cable,Accessories,546.56,19,Central,CUST0744,185.02
2023-10-17,Charger,Accessories,1848.5,9,South,CUST0872,580.24
2023-03-27,Printer,Office,469.54,14,Central,CUST0013,104.31
2022-10-21,Monitor,Technology,2350.46,19,West,CUST0394,451.2
2022-07-01,Headphones,Accessories,4222.38,19,Central,CUST0881,1754.06
2023-12-09,Phone,Technology,1387.51,13,West,CUST0827,264.27
2021-01-17,Headphones,Accessories,3836.07,16,East,CUST0806,674.01
2021-06-07,Printer,Office,957.97,8,South,CUST0532,321.86
2022-04-22,Keyboard,Accessories,3384.99,16,East,CUST0213,764.21
2023-12-06,SSD,Storage,4581.91,9,South,CUST0270,1589.83
2022-06-02,Motherboard,Technology,1653.44,9,East,CUST0984,490.62
2021-04-09,Monitor,Technology,4507.04,3,Central,CUST0040,961.69
2023-11-27,Headphones,Accessories,2551.83,7,East,CUST0647,436.09
2021-10-07,Webcam,Accessories,1618.19,18,South,CUST0965,277.03
2022-05-12,Graphics Card,Technology,4487.72,2,North,CUST0774,1461.91
2021-10-29,USB Cable,Accessories,208.58,1,South,CUST0936,78.73
2021-06-30,Speaker,Accessories,188.69,12,North,CUST0181,67.34
2022-08-30,Laptop,Technology,3019.16,16,Central,CUST0739,989.85
2022-12-01,Phone,Technology,3993.92,12,South,CUST0265,851.82
2023-09-20,Graphics Card,Technology,3770.15,10,East,CUST0106,1540.24
2021-07-10,Keyboard,Accessories,443.37,9,Central,CUST0833,150.15
2021-09-10,Mouse,Accessories,4753.74,18,South,CUST0487,1703.07
2023-09-08,Headphones,Accessories,3530.16,4,Central,CUST0404,766.57
2023-07-17,SSD,Storage,4748.1,8,North,CUST0390,1084.69
2021-05-08,RAM,Components,1679.03,4,Central,CUST0608,709.0
2021-01-18,USB Cable,Accessories,3485.0,16,East,CUST0973,1020.48
2022-07-20,Keyboard,Accessories,4306.7,8,South,CUST0807,1361.58
2022-07-24,Tablet,Technology,1933.3,7,North,CUST0123,354.24
2022-11-17,Tablet,Technology,4826.06,13,Central,CUST0789,1295.18
2022-09-18,Hard Drive,Storage,1361.71,8,West,CUST0037,566.62
2023-05-04,RAM,Components,1612.29,7,North,CUST0780,677.23
2023-08-20,Graphics Card,Technology,4605.63,5,North,CUST0710,1699.69
2021-06-04,Monitor,Technology,4849.82,18,East,CUST0767,1521.35
2022-05-05,USB Cable,Accessories,1461.72,19,East,CUST0503,627.44
2023-02-24,Webcam,Accessories,725.13,10,Central,CUST0527,298.43
2021-09-03,Keyboard,Accessories,3807.32,11,West,CUST0917,1537.8
2023-11-29,Phone,Technology,4651.84,8,North,CUST0597,1928.38
2023-01-29,SSD,Storage,3023.53,6,Central,CUST0092,864.64
2022-06-22,Phone,Technology,3190.87,11,West,CUST0100,981.66
2023-07-10,Speaker,Accessories,3826.57,16,Central,CUST0977,1060.74
2022-02-12,USB Cable,Accessories,807.77,4,North,CUST0686,300.51
2022-06-09,Router,Office,4868.67,2,Central,CUST0455,1594.87
2023-04-08,Tablet,Technology,1853.43,13,East,CUST0727,316.77
2023-06-22,Keyboard,Accessories,3159.79,7,East,CUST0877,603.46
2021-02-05,Tablet,Technology,2369.65,17,South,CUST0598,492.17
2022-11-16,Mouse,Accessories,2367.5,13,West,CUST0394,831.39
2021-01-20,USB Cable,Accessories,3528.58,10,North,CUST0594,645.52
2021-11-17,Router,Office,4973.58,13,West,CUST0834,1552.98
2022-05-27,Webcam,Accessories,3312.35,10,East,CUST0886,1332.39
2022-02-04,Motherboard,Technology,3980.59,7,North,CUST0972,1728.59
2022-10-16,Tablet,Technology,186.7,10,South,CUST0505,51.99
2023-08-30,Graphics Card,Technology,4061.62,16,East,CUST0117,1259.22
2022-04-16,Webcam,Accessories,1534.88,3,East,CUST0679,613.12
2023-04-14,Router,Office,677.17,4,West,CUST0754,291.67
2022-12-28,Phone,Technology,611.0,4,Central,CUST0790,163.11
2023-05-04,Charger,Accessories,3415.38,4,West,CUST0491,874.06
2021-02-20,Mouse,Accessories,4988.2,16,East,CUST0342,1422.9
2022-07-29,Phone,Technology,3347.67,9,West,CUST0426,757.05
2021-05-30,Tablet,Technology,1348.62,6,Central,CUST0470,550.1
2021-11-10,Graphics Card,Technology,1056.36,10,South,CUST0134,259.29
2022-07-24,Headphones,Accessories,2653.49,4,North,CUST0878,755.81
2021-11-01,Keyboard,Accessories,371.94,12,East,CUST0180,91.49
2022-11-13,Laptop,Technology,2026.69,10,West,CUST0677,376.31
2023-04-18,Webcam,Accessories,3347.86,12,East,CUST0212,1111.47
2023-12-14,Charger,Accessories,4839.93,19,North,CUST0518,1579.19
2023-09-30,Hard Drive,Storage,2156.98,19,West,CUST0585,514.38
2022-03-20,RAM,Components,1041.11,1,South,CUST0413,165.97
2022-09-05,Router,Office,4095.94,4,North,CUST0357,1765.45
2023-09-20,SSD,Storage,3733.79,13,Central,CUST0453,958.33
2021-09-21,SSD,Storage,4305.53,8,Central,CUST0435,1341.72
2023-12-13,Router,Office,1112.86,14,East,CUST0077,214.92
2023-10-01,Headphones,Accessories,2053.92,16,Central,CUST0283,462.85
2021-01-05,Tablet,Technology,4908.69,2,West,CUST0727,1377.26
2023-02-13,Phone,Technology,832.31,8,Central,CUST0677,265.23
2023-05-27,Mouse,Accessories,3373.68,13,South,CUST0686,1370.4
2023-09-19,Printer,Office,1224.06,1,West,CUST0610,290.25
2023-06-03,Router,Office,2525.79,12,East,CUST0537,1039.45
2021-02-16,Monitor,Technology,4012.52,17,East,CUST0421,1153.73
2023-05-17,Tablet,Technology,2468.5,7,Central,CUST0151,690.69
2023-04-03,Printer,Office,4037.13,16,Central,CUST0732,1085.68
2023-07-25,Graphics Card,Technology,2160.36,14,East,CUST0503,898.39
2022-10-18,Hard Drive,Storage,4996.8,10,West,CUST0666,1125.8
2021-09-26,Router,Office,2207.35,3,North,CUST0588,898.85
2022-01-05,USB Cable,Accessories,789.43,12,East,CUST0888,139.52
2022-09-28,Charger,Accessories,2039.25,8,South,CUST0948,890.33
2022-10-19,Laptop,Technology,3725.84,16,West,CUST0743,1121.12
2021-04-30,Mouse,Accessories,4247.29,1,North,CUST0515,1909.89
2023-04-11,USB Cable,Accessories,2327.51,17,North,CUST0585,773.62
2023-12-18,USB Cable,Accessories,2992.66,6,West,CUST0623,554.48
2023-01-11,Monitor,Technology,4232.21,1,East,CUST0335,712.14
2021-04-27,Phone,Technology,4077.05,15,North,CUST0584,848.13
2023-03-02,SSD,Storage,3305.73,13,South,CUST0412,913.52
2023-10-10,Charger,Accessories,4084.38,6,West,CUST0255,1528.2
2023-12-18,Headphones,Accessories,2900.76,13,Central,CUST0218,435.74
2022-09-26,Motherboard,Technology,73.01,4,East,CUST0208,16.59
2022-05-28,USB Cable,Accessories,254.27,1,West,CUST0761,82.96
2023-03-13,Graphics Card,Technology,4900.05,10,South,CUST0290,1172.9
2022-07-14,Monitor,Technology,767.71,4,North,CUST0852,197.37
2022-05-03,Hard Drive,Storage,2052.36,13,East,CUST0577,493.04
2023-06-16,USB Cable,Accessories,4672.37,4,East,CUST0984,2036.94
2022-12-05,Tablet,Technology,1015.45,16,West,CUST0285,172.37
2022-08-04,Motherboard,Technology,4226.77,9,West,CUST0516,1784.77
2023-03-01,Hard Drive,Storage,4100.42,4,South,CUST0708,1012.69
2023-05-11,SSD,Storage,4932.33,8,Central,CUST0631,1104.66
2021-09-04,Tablet,Technology,1444.33,4,West,CUST0702,599.37
2021-06-03,Laptop,Technology,1610.86,9,West,CUST0678,380.36
2023-09-24,Graphics Card,Technology,4519.25,11,West,CUST0963,2016.69
2022-11-28,Tablet,Technology,1208.69,5,South,CUST0232,380.04
2023-12-29,Hard Drive,Storage,2762.11,9,North,CUST0642,809.05
2023-12-07,Tablet,Technology,3551.36,8,Central,CUST0989,1573.06
2023-10-06,USB Cable,Accessories,1395.83,4,South,CUST0881,304.33
2021-04-04,SSD,Storage,4695.14,1,West,CUST0604,1984.59
2023-08-16,Motherboard,Technology,3345.2,13,North,CUST0332,1095.41
2023-10-09,Hard Drive,Storage,283.34,5,West,CUST0637,106.67
2022-03-29,Tablet,Technology,721.9,10,South,CUST0812,234.34
2023-07-01,Webcam,Accessories,994.37,16,East,CUST0207,333.71
2021-08-06,Monitor,Technology,1262.54,8,West,CUST0626,248.06
2022-04-19,Monitor,Technology,3666.85,12,North,CUST0361,716.86
2022-03-08,Speaker,Accessories,490.23,3,Central,CUST0351,131.94
2021-12-07,Laptop,Technology,1785.44,4,East,CUST0373,453.35
2022-07-05,Webcam,Accessories,4561.35,17,West,CUST0101,1658.59
2021-12-23,SSD,Storage,2805.51,13,West,CUST0544,1029.14
2021-01-23,Laptop,Technology,1364.21,6,North,CUST0470,435.37
2022-06-06,Headphones,Accessories,4787.43,3,East,CUST0131,1295.49
2023-03-13,Speaker,Accessories,1259.36,14,East,CUST0529,444.61
2023-02-01,Hard Drive,Storage,4530.24,7,East,CUST0477,1613.69
2022-03-18,RAM,Components,3642.56,3,West,CUST0248,1430.54
2023-02-08,Hard Drive,Storage,3715.58,6,East,CUST0375,1462.15
2023-10-13,Charger,Accessories,3836.45,13,West,CUST0396,655.53
2022-05-31,Graphics Card,Technology,2557.52,14,West,CUST0576,670.62
2023-11-06,Hard Drive,Storage,4082.16,15,East,CUST0959,1126.59
2023-03-03,Router,Office,4189.16,16,South,CUST0078,1692.75
2021-12-02,Hard Drive,Storage,1834.41,1,Central,CUST0712,551.32
2021-09-15,Motherboard,Technology,2031.71,15,Central,CUST0041,602.69
2022-05-12,Printer,Office,4449.35,7,South,CUST0258,1406.58
2023-06-15,Graphics Card,Technology,2647.41,9,East,CUST0181,498.15
2021-06-09,Mouse,Accessories,4341.37,15,West,CUST0290,1387.45
2023-05-02,Webcam,Accessories,3152.51,14,North,CUST0125,994.5
2022-11-21,USB Cable,Accessories,2988.16,19,South,CUST0856,1124.53
2022-01-15,Motherboard,Technology,203.36,18,Central,CUST0624,69.19
2023-08-15,Keyboard,Accessories,1425.58,9,Central,CUST0468,622.28
2022-11-22,Mouse,Accessories,2535.19,1,West,CUST0235,441.2
2023-12-03,Monitor,Technology,2957.22,12,Central,CUST0500,1128.17
2021-10-12,Headphones,Accessories,3170.65,10,Central,CUST0714,1190.42
2022-02-01,Monitor,Technology,3595.3,7,West,CUST0552,829.81
2021-01-12,Speaker,Accessories,3298.36,14,East,CUST0711,1185.98
2022-05-14,Charger,Accessories,4250.45,1,Central,CUST0961,1478.29
2023-01-24,Hard Drive,Storage,1512.58,15,East,CUST0823,362.43
2021-02-04,USB Cable,Accessories,3225.77,1,North,CUST0638,1184.29
2022-12-28,Router,Office,303.24,13,East,CUST0074,130.15
2023-04-29,Motherboard,Technology,2426.94,2,West,CUST0691,586.27
2021-03-31,RAM,Components,1376.76,3,West,CUST0005,611.32
2023-02-15,Keyboard,Accessories,1935.39,4,West,CUST0824,420.53
2022-08-28,Webcam,Accessories,1805.58,16,Central,CUST0118,343.77
2023-08-28,Hard Drive,Storage,349.13,12,South,CUST0744,60.44
2023-10-19,Keyboard,Accessories,2359.9,4,Central,CUST0661,505.27
2022-02-22,Webcam,Accessories,4973.41,12,East,CUST0314,1257.05
